Unnamed: 0,Link,WebsiteSource,Type,Summary,Title,Content,Date,Tags,Author,Category,Entities
21499,https://blockchain.news//news/elon-musk-and-joe-rogan-slam-us-stimulus-money-printing-and-incoming-inflation,https://blockchain.news/,2,Elon Musk appeared on the Joe Rogan Experience for the second time and had a few choice words regarding the coming inflation and creative monetary issuance coming into play due to the COVID market meltdown.,Elon Musk and Joe Rogan Slam US Stimulus Money Printing and Incoming Inflation - Blockchain.News,"Elon Musk appeared on the Joe Rogan Experience for the second time and had a few choice words regarding the coming inflation and creative monetary issuance coming into play due to the COVID market meltdown.While a clear Bitcoin advocate, Musk did not mention the pioneer crypto despite its ability to fix inflationary money issuance.Musk believes that given the current US stimulus money being sent to US citizens and small businesses on lockdown, that the population is starting to view the economy as a limitless source of support regardless of the loss in production and rising unemployment.Appearing on the Joe Rogan podcast on May 7, Musk said, “This notion though, that you can just sort of send cheques to everybody and things will be fine, is not true.”Endlessly Printing MoneyThe coronavirus pandemic lockdown has created a huge financial chasm and the US government has put a $2 trillion stimulus package in play with the belief that they can endlessly print more.“If you don’t make stuff, there’s not stuff. You can’t just legislate money and solve these things.” Elon Musk explained the basis for a working economy seemingly unknown to US Lawmakers who only recently suggested having the US Treasury mint a couple of $1 trillion coins and force the Federal Reserve to recognize them so they could back the stimulus ""debt-free.""Elon Musk and Bitcoin and InflationAs stated in the original Bitcoin white paper, there can only ever be a maximum of 21 Million Bitcoin and does not allow for inflation.Although Musk and Rogan did not mention Bitcoin during the lengthy two- hour podcast, Musk has appeared bullish on the cryptocurrency recently on Twitter and reportedly owns around 0.25 BTC himself.In terms of what havoc the coming inflation could have, a positive note for Bitcoin believers are recent reports like that from Bitmex, which highlights that in the aftermath of the current Coronavirus market crash and the subsequent inflation that will be caused by the response of the Federal Reserve and Central banks, Bitcoin will face its truest test and be presented its biggest opportunity to prove itself in its short lifetime.BitMEX Research outlined that the global response to the pandemic and disruption will, “mark a significant economic regime change from monetary policy to central bank funded fiscal expansion” from which intolerable market inflation will rise.Recently the Bloomberg April 2020 Crypto Outlook also revealed that the creative financial measures of the US Lawmakers and Central banks around the world appear to be accelerating the status of Bitcoin to a new type of digital gold.How do you pronounce X Æ A-12?On May 4th, 2020, Elon Musk and his partner Claire Boucher welcomed their first child together and soon after revealed the baby’s name: X Æ A-1Musk was immediately questioned by Rogan on how to correctly pronounce the boy’s name.Musk said his son’s name is pronounced “X Ash A 12.” The X is just “X” and the A-12 is just “A 12.”",2020-05-08 09:00:00,"blockchain, elon musk, x æ a-12, stimulus, bitcoin, inflation, joe rogan, jre, podcast",Lucas Cacioli,"Bitcoin, AI",$1 trillion|$2 trillion|A-12|AI|BitMEX Research|Bitmex|Bloomberg|Claire Boucher|Elon Musk|InflationAs|Joe Rogan|Musk|Rogan|Twitter|US|a-12|joe rogan|jre|the Federal Reserve|the US Treasury
24646,https://blockchain.news//news/crypto-twitter-explodes-elon-musk-announces-tesla-will-stop-accepting-bitcoin-payments,https://blockchain.news/,2,Tesla CEO Elon Musk's latest tweet on Bitcoin has generated a lot of backlash on Twitter.,Crypto Twitter Explodes as Elon Musk Announces Tesla Will Stop Accepting Bitcoin Payments - Blockchain.News,"Twitter has gone haywire after Tesla CEO Elon Musk’s latest tweet.The eccentric billionaire is known for resorting to Twitter to comment on his latest views on cryptocurrencies, with his latest antic being an announcement on Twitter that Tesla will no longer be accepting Bitcoin payments.The explanation for stopping Bitcoin payments at Tesla seems ironic since Musk has on more than one occasion touted Bitcoin. The announcement that Tesla will halt Bitcoin payment options comes at a time when Musk has also mulled over the idea of enabling Dogecoin (DOGE) payments for Tesla vehicles. Following Musk's tweet, Bitcoin also plunged and shed 12% of its value, momentarily sinking to $47K.According to Musk, the main reason why Tesla has decided not to go forward with Bitcoin transactions is due to the fact that the cryptocurrency does not use sustainable energy. The “increasing use of fossil fuels for Bitcoin mining and transactions” has raised concerns at Tesla, said Musk. He added:“Cryptocurrency is a good idea on many levels and we believe it has a promising future, but this cannot come at great cost to the environment.”As the news broke up via Twitter, the cryptocurrency community exploded with criticism due to the billionaire’s decision. Many replied to Elon Musk’s tweet. MicroStrategy CEO Michael Saylor, who figures among one of the leading institutional heads to be bullish on Bitcoin, said:“Ironic because no incremental energy is used in a #bitcoin transaction. The energy is used to secure the crypto-asset network, and the net impact on fossil fuel consumption over time will be negative, all things considered.”Host of “The Pomp” podcast Anthony Pompliano also chimed in, tweeting:“Elon ... you realize that 75% of miners use renewable energy, right? This energy story has been debunked over and over again.”According to Gabor Gurbacs, the director of VanEck digital asset firm, Musk is not well informed on the environmental strides Bitcoin has been making. Per research from his firm, 76% of Bitcoin miners have increasingly begun to use renewable energy.Additionally, many are misinformed regarding the energy cost of Bitcoin transactions. Energy consumption does not necessarily translate to carbon dioxide emissions and environmental pollution, and one transaction can contain hundreds or thousands of Bitcoin payments, according to VanEck’s research.Others in the blockchain industry point to the proof-of-work consensus mechanism as being less environmentally friendly than proof-of-stake protocols, which is the underlying mechanism of blockchains like Cardano, and soon-to-be Ethereum 2.0.",2021-05-13 04:26:00,"ethereum, bitcoin, blockchain, tesla, crypto",Shine Li,"Bitcoin, Ethereum, AI",12%|47K.According|75%|76%|Anthony Pompliano|Cardano|Dogecoin|Elon Musk|Ethereum|Gabor Gurbacs|Michael Saylor|MicroStrategy|Musk|Tesla|Twitter|VanEck
24400,https://blockchain.news//news/elon-musk-confirms-russian-bitcoin-ransomware-attack-targeting-tesla-fbi-rescue,https://blockchain.news/,2,Elon Musk confirmed that Tesla was recently targeted in a ransomware attack set to extort $1 million in Bitcoin from the car manufacturing giant.,"Elon Musk Confirms Russian Bitcoin Ransomware Attack Targeting Tesla, FBI to the Rescue - Blockchain.News","Elon Musk has confirmed that Tesla was recently targeted in a ransomware attack set to extort $1 million in Bitcoin from the car manufacturing giant.Ransomware Attack on TeslaA Russian national reached out to a Tesla employee from themanufacturingfactory in Nevada andenticed him to install ransomware malware onto Tesla's computer network. The Russian scam artist offered the employee $1 million and an upfront payment of 1 Bitcoin (BTC) in exchange for uploading the software.Rather than accepting the bribe, the employee called the FBI. Upon investigation,the US Federal Bureau of Investigationarrested a 27-year-old Russian,EgorIgorevichKriuchkov, who was at the basis of the ransomware attempt.Kriuchkovwas apprehendedin Los Angeles onAugust 22 and is currently facing up to 5 years in prison for the ransomware scheme, if found guilty.Assharedby Forbes, Bitcoinis highly favored as a payment method by cybercriminals, with the digital asset's rising value on the marketand its increasing popularity as a hedge among investors. Over the past 6 years,ransomware attacks by cyber schemers have generatedover $140 million worth of Bitcoin, according to the FBI.Speaking about the Bitcoin extortion attempt targeting his company, CEO Elon Musk said that it was a serious attack, after having suffered from a previous Bitcoin Twitter hack that overtook his social media platform as well as that of other tech moguls and big-name figures.The Bitcoin ransomware attempt comes at a time when Tesla stock is surging on the market, boasting of a market capitalization ofapproximately $465billionafter an announced 5-for-1 stock split thatquadrupled Elon Musk’s wealth.Overtaking Facebook CEO Mark Zuckerberg, the SpaceX founder now figures among the top 3wealthiestpeople in the world,according to the Bloomberg Billionaires Index.Elon Musk has alsobeenworkingon aplan to mine gold fromasteroids andis to launch a mission withhis company SpaceX, as disclosed by NASA.In parallel to this, Bitcoin billionaire Tyler Winklevoss has continued educating investors on the benefits of investing in BTC rather than gold or USD, due to the digital asset’s protective nature against inflation.Bitcoin, often dubbed “digital gold” by avid investors, has a limited maximum supply of 21 million, and according to, Bitcoin’s value willcontinue escalating,with the US dollar plummeting andgold's actual global supply being unknown.With the cryptocurrency having a maximum cap of 21 million coins in the world, Winklevoss has therefore touted BTC as the best hedge against inflation.",2020-09-02 04:09:00,"bitcoin, ransomware, tesla, elon musk, billionaire, cars, cryptocurrency, extortion, fbi, winklevoss",Shine Li,Bitcoin,$1 million|$140 million|3wealthiestpeople|465billionafter|Assharedby Forbes|EgorIgorevichKriuchkov|Elon Musk|FBI|Facebook|Kriuchkovwas|Los Angeles|Mark Zuckerberg|NASA.In|Nevada|Russian|SpaceX|Tesla|TeslaA Russian|Tyler Winklevoss|US|Winklevoss|alsobeenworkingon|avid investors|fbi|the Rescue - Blockchain|the US Federal Bureau of Investigationarrested|winklevoss
22278,https://blockchain.news//news/elon-musk-deliver-starlink-within-weeks-30b-investment,https://blockchain.news/,2,"Billionaire entrepreneur Elon Musk revealed the Starlink satellite internet network of SpaceX has been launched, expecting the internet broadband internet to go online globally (except poles regions) within weeks before August.",Elon Musk To Deliver Starlink Within Weeks with Up to $30B Investment - Blockchain.News,"Billionaire entrepreneur Elon Musk revealed his Starlink satellite internet network of SpaceX has been launched, expecting the internet broadband internet to go online globally (except poles regions) within weeks before August.Speaking at a video conference virtually for the Mobile World Congress Tuesday, where the event organized in Barcelona, Tesla CEO and founder of SpaceXElon Muskdemonstrated his ambition over space.“We recently passed the strategically notable number of 69,420 active users. We’re, I think, on our way to having a few hundred thousand users, possibly over 500,000 users within 12 months.”Starlink, an array of low-orbit satellites with low-latency connections, provide high-speed internet access to people living in remote areas. The network will offer a trial service starting in August to cover the world, except for the North Pole and the South Pole, says Musk.According to Bloomberg, Starlink will offer so-called “data backhaul” spines for its networks. The satellite network currently moves about 30 terabits of data per second; Musk said he targets a user latency -- or network response time -- of less than 20 milliseconds.This largest satellite constellation worldwide now has more than 1,500 satellites operating in a dozen countries. In addition, the company is preparing to launch a new version of satellites next year with inter-satellite laser links to cover polar areas. Musk said the whole project would need up to $30 billion investment for further development.On the other hand, Musk has shown himself as a key opinion leader, demonstrating strong influence over cryptocurrencies and their price by his comments. The price of dogecoin (DOGE) has experienced a volatility period ranging from $0.246 to $0.275 over the past 24-hour after Musk expressed his support of the fee change proposal over DOGE. DOGE was trading at $0.252, slipped 1.31%. On the other hand, Bitcoin was standing firm above the $35K level, slightly up by 0.49%, trading at $35,053 during the intraday trading, according to CoinMarketCap.Meanwhile, more business sectors are embracing virtual currencies to offer diversified payments to their customers. GetYourGuide, a berlin-based travel agency, announced Tuesday to accept DOGE as payment for the first time and marked its expansion into the U.S. market, according to CNBC coverage.",2021-06-30 07:00:00,"blockchain, bitcoin, elon musk, starlink, spacex",Mervyn Kwan,"Bitcoin, AI","0.246|0.252|0.275|0.49%|1.31%|35,053|AI|Barcelona|Bloomberg|CNBC|CoinMarketCap|Elon Musk|GetYourGuide|Musk|SpaceX|SpaceXElon Muskdemonstrated|Starlink|Tesla|U.S.|Up to $|berlin|spacex Bitcoin|starlink|the Mobile World Congress|the North Pole|the South Pole|up to $30 billion"
22296,https://blockchain.news//news/elon-musk-criticizes-bitcoin-mining-being-highly-centralized-china-hinting-that-tesla-may-dump-bitcoin,https://blockchain.news/,2,"Elon Musk’s tweets have served to create headwind for Bitcoin, sending the cryptocurrency on a steep plunge.","Elon Musk Criticizes Bitcoin Mining for Being Highly Centralized in China, Hinting that Tesla May Dump Bitcoin - Blockchain.News","Elon Musk’s tweets have served to create headwind for Bitcoin, sending the cryptocurrency on a steep plunge.Recently, Musk implied that Tesla may sell off its Bitcoin holdings. He also slammed BTC mining operations, which are highly concentrated in China.Reuters reported on Monday that Musk raised concerns about Bitcoin's mining operations while responding to a pseudonymous Twitter user called CryptoWhale. The post by CryptoWhale warned BTC investors that they may “slap” themselves by next quarter “if Tesla dumped the rest of their Bitcoin holdings”. Musk replied, “Indeed,” without any further explanation on whether Tesla will sell off its BTC. However, the market believes that his tweet has led to Bitcoin's price plummeting.The Tesla CEO posted a statement recently that the company will suspend vehicle purchases using Bitcoin payment due to environmental reasons. The statement read:“Cryptocurrency is a good idea on many levels. However, it cannot come at great cost to the environment.”Meanwhile, Musk also responded to another post on his Twitter, referencing a flooding incident that occurred at a coal mine in Xinjiang, China recently. The flooding impacted Bitcoin mining operations. Musk criticized the process of Bitcoin mining and pointed to its centralization in China as well as its environmental-unfriendly feature as being problematic. He said:“Bitcoin is actually highly centralized, with supermajority controlled by a handful of big mining (aka hashing) companies. A single coal mine in Xinjiang flooded, almost killing miners, and the BTC hash rate dropped 35%. Sound 'decentralized' to you?”Fortune reported previously that the blackout halted about one-third of all Bitcoin’s computing power globally. Referring to BTC mining, a study showed that as much as 66 % of global hash rates come from and are controlled by Chinese entitles. The hash rate, a measurement used for the processing power of the BTC networks, dropped recently due to a regional blackout in North-Western China.",2021-05-17 08:30:00,"blockchain, bitcoin, tesla, elon musk, china",Mervyn Kwan,"Bitcoin, AI",35%|AI|China|Chinese|CryptoWhale|Elon Musk|Musk|North-Western China|Reuters|Tesla|Xinjiang|as much as 66 %|china|said:“Bitcoin|”Meanwhile
24480,https://blockchain.news//news/bitcoin-future-looks-bright-kanye-west-decides-run-president,https://blockchain.news/,2,"On July 4th, Kanye West expressed his wishes to run for President in the 2020 presidential race. This is exciting news for Bitcoin, as Kanye has on several occasions expressed his support for the cryptocurrency.",Bitcoin's Future Looks Bright as Kanye West Decides to Run for President 2020 - Blockchain.News,"Kanye West dropped a bomb on social media on July 4—American Independence Day—and indicated his intentions to run for President in the 2020 US Elections. This is exciting news for Bitcoin (BTC), as Kanye has publicly expressed his support for the cryptocurrency.On July 4, Kanye tweeted:“We must now realize the promise of America by trusting God, unifying our vision and building our future. I am running for president of the United States! #2020 vision.”Kanye, one of the world's most influential musicians has been very vocal on his support for Bitcoin and the crypto industry. He told TMZ that he would like to see the blockchain industry evolve. Kanye tweeted the word “decentralize” on his social media platform, advocating for Bitcoin usage and expressing his desire to see the BTC cryptocurrency replace traditional American dollar bills.Elon Musk and CryptocurrencyBacking Kanye West’s announced run for president is the eccentric billionaire and Tesla CEO Elon Musk, who tweeted out in support of Kanye’s post.Elon Musk, one of the biggest names in the technology industry and the 31st richest in the world by Forbes (2020), is a friend of Kanye’s. Musk is quite influential in the crypto community and has on several occasions expressed his stance on cryptocurrencies such as Bitcoin.Elon Musk's Views on BitcoinMusk has also expressed a distaste for the monetary policies of the Federal Reserve. He recently appeared on the Joe Rogan Experience Podcast and said that the way the US planned on handling the inflation caused by the coronavirus pandemic was inefficient, as their stimulus packages were not the best solution.The SpaceX creator recognizes Bitcoin (BTC)’s advantages and thinks that BTC founder Satoshi Nakamoto’s whitepaper was “pretty clever.” Musk also states that though crypto supporters may not want to hear this, Bitcoin may be a bridge between the black market and the legal economy. In his opinion, as cash is becoming increasingly hard to use, Bitcoin might take over in replacing it and in furthering the economy.",2020-07-06 09:05:00,"blockchain, bitcoin, btc, kanye west, elon musk, potus, cryptocurrency, spacex, whitepaper, satoshi nakamoto, inflation, decentralization",Shine Li,"Bitcoin, AI",America|American|American Independence Day|BitcoinMusk|Elon Musk|Elon Musk's|Forbes|Joe Rogan|Kanye|Kanye West|Kanye West’s|Musk|Satoshi Nakamoto|SpaceX|TMZ|Tesla|US|bitcoin|btc|kanye west|potus|satoshi nakamoto|the Federal Reserve|the United States
17595,https://blockchain.news//news/musk-asks-mcdonalds-to-take-dogecoin-as-payment,https://blockchain.news/,2,"Elon Musk tweeted, saying that he will eat a happy meal on television if McDonald's accepts Dogecoin.",Musk Asks McDonald's to Take Dogecoin as Payment - Blockchain.News,"Elon Musk tweeted, saying that he will eat a happy meal on television if McDonald’s accepts Dogecoin.“I will eat a happy meal on tv if @McDonalds accepts Dogecoin,” Musk, chief executive of Tesla Inc, said in a tweet.He is also a big supporter of Dogecoin said earlier this month that Tesla would accept the cryptocurrency for payment for some merchandise.According to CoinMarketCap, the price of Dogecoin rose 7% following his tweet.Musk’s tweet came after cryptocurrency prices — including Dogecoin — have fallen sharply in recent days.CoinMarketCap also indicated that Dogecoin initially began as a joke in 2013 but is currently in the top 10 by the market value of cryptocurrencies.Musk is an avid Twitter user and has also gotten into arguments with other financial leaders.Blockchain.News reported onNovember 24, 2021, Twitterhad become an arena for crypto-related battles due to the ongoing issue associated with Binance suspending Dogecoin withdrawals.A war of words ignited between Musk and Changpeng “CZ” Zhao, the CEO of Binance crypto exchange, on Twitter social media platform after Musk called the way Binance exchange is handling Dogecoin glitch “shady”.Binance had suspended Dogecoin withdrawals on November 11 after the platform experienced a software glitch as a result of a network update, Blockchain.News reported.Following which Musk took to Twitter on November 23 and brought up the issue concerning Doge withdrawals on the popular exchange. Musk tagged Binance CEO, and stated: “What’s going on with your Doge customers? Sounds shady.”Binance’s official Twitter account took about 30 minutes to respond and, as a result, argued that there is nothing shady with the issue.",2022-01-26 09:15:00,"blockchain, bitcoin, elonmusk, dogecoin, cyrpto, mcdonald",Aaron Limbu,"Bitcoin, AI",7%|@McDonalds|AI|Blockchain.|Changpeng “CZ|CoinMarketCap|Doge|Dogecoin|Elon Musk|McDonald|McDonald's|Musk|Musk Asks McDonald's|Tesla|Tesla Inc|Twitter|Twitterhad|Zhao|bitcoin|cyrpto|dogecoin|elonmusk|mcdonald Bitcoin|shady”.
24647,https://blockchain.news//news/twitter-hack-goes-viral-bill-gates-elon-musk-biden-hit-massive-bitcoin-scam,https://blockchain.news/,2,"Twitter has gone haywire as news of a Bitcoin scam hack targeting multiple high-profile figures such as Bill Gates, Elon Musk, Joe Biden, Jeff Bezos, and even multinational tech company Apple has broken out.","Twitter Hack Goes Viral as Bill Gates, Elon Musk, and Biden Hit by Massive Bitcoin Scam - Blockchain.News","Twitter has gone haywire as news of a Bitcoin scam hack targeting multiple high-profile figures such as Bill Gates, Elon Musk, Joe Biden, Jeff Bezos, and even multinational tech company Apple has broken out.The scammers thatmultitudes of verified Twitter accounts belonging to celebrities and key influential figures issued the same message across all platforms:“I am giving back to the community. All Bitcoin sent to the address below will be sent back doubled! If you send $1,000, I will send back $2,000. Only doing this for 30 minutes.”This type of promise is a common technique used by crypto scammers to incite people to wire funds straight to their digital wallets.On Tesla CEO Elon Musk’s account, hackers posted a pinned Tweet entailing that the entrepreneur was going to double any Bitcoin (BTC) amount sent to his BTC wallet address. The multi-faceted entrepreneur isto possess 0.25 Bitcoins.Ten minutes into the post, the wallet address displayed on Musk’s Twitter had already received 3.64 Bitcoins, which translated to $34 498 at the time of the reporting. The original tweet was soon deleted by Twitter Support.However, soon after the original post was removed, a new version popped up within seconds, clueing investigators into the fact that the Bitcoin attack was still ongoing.Donations to another Bitcoin address created by crypto scammers wereto have surpassed $100,000 in collected funds.After numerous influential Twitter accounts wereto be compromised—Kim Kardashian,,, Barack Obama, Michael Bloomberg, Uber,Binance, Coinbase, to name a few—scam tweets were still up and running for more than an hour.Presidential runner Joe Biden’s official Twitter account was among those that were hijacked by scam artists. The scam was howevercontainedand the post deleted within minutes. Chief executive of cybersecurity firmSocialProofSecurityRachel Tobac addressed the issue and expressed her surprise as to Twitter not going “completely dark to prevent misinformation campaigns and political upheaval.” However, she said that it was a stroke of luck that the attackers were Bitcoin and money-motivated and not aiming for chaos and destruction.Twitter support then went on to temporarily prevent all verified accounts on their social media platform from tweeting for about half an hour. They tried to reassure their social media community by tweeting that they were working on the security incident and investigating further to fix the breach. Updates will soon be provided, Twitter Support posted.",2020-07-16 05:52:00,"blockchain, bitcoin, elon musk, bill gates, scam, btc, hack, twitter, joe biden, cryptocurrency, digital wallet, tweets",Shine Li,"Bitcoin, AI","$34 498|1,000|100,000|2,000|Apple|Barack Obama|Biden|Bill Gates|Coinbase|Elon Musk|Jeff Bezos|Joe Biden|Kim Kardashian|Michael Bloomberg|Musk|Tesla|Tobac|Tweet|Twitter|Twitter Hack|Twitter Support|Uber|joe biden"
18570,https://blockchain.news//news/musk-says-spacex-will-follow-teslas-lead-in-adding-doge-payments,https://blockchain.news/,2,"Tesla CEO Elon Musk tweeted that in the near future his space venture company SpaceX plans to introduce payments with his favourite crypto asset, dogecoin (DOGE).",Musk Says SpaceX will Follow Tesla's Lead in Adding DOGE Payments - Blockchain.News,"Tesla CEO Elon Musk tweeted that in the near future his space venture company SpaceX plans to introduce payments with his favourite crypto asset, dogecoin (DOGE).He tweeted:""Tesla merch can be bought with Doge, soon SpaceX merch too""Musk has also previously mentioned that Tesla’s goods will be available for purchase with dogecoin.Historically, Musk's tweets in support of DOGE have had a direct and positive impact on DOGE's market price.As a strong advocate of Dogecoin (DOGE) and other Shiba Inu-themed meme coins, his post propelled Dogecoin to an all-time high of 67 cents last May.Musk tweeted ""Dog Daddy on SNL on May 8"" and announced that he would be hosting ""The Saturday Night Show"" as ""Dog Daddy."" The tweet rekindled positive investor sentiment towards Dogecoin, and the meme-based cryptocurrency quickly surged by more than 30%.Musk's Tesla is also one of the largest corporate buyers of Bitcoin, and Musk has hinted at the possibility of continuing to accept Bitcoin payments for its electric automobiles in the near future.According to data from CoinMarketCap, the meme cryptocurrency has gained about 5.79% over the past 24 hoursat the time of writingand is currently ranked 10th by market cap with a market cap of $ $11,379,882,764.Dogecoin is now trading at around $0.0857.In the future, Musk revealed that DOGE may be added as a new form of payment for Starlink subscription payments.In total, Muskis the founder, CEO, and Chief Engineer at SpaceX; angel investor, CEO, and Product Architect of Tesla, Inc.; founder of The Boring Company; and co-founder of Neuralink and OpenAI.",2022-05-30 08:26:00,"blockchain, bitcoin, elon musk, dogecoin, spacex",Annie Li,"Bitcoin, AI","$ $11,379,882,764.Dogecoin|30%.Musk|67 cents|AI|CoinMarketCap|DOGE).He|Dog Daddy|Doge|Dogecoin|Elon Musk|Musk|Neuralink|OpenAI|Product Architect|SNL|Shiba Inu-themed|SpaceX|Starlink|Tesla|Tesla, Inc.|The Boring Company|The Saturday Night Show|about 5.79%|around $0.0857.In|dogecoin|spacex Bitcoin"
17596,https://blockchain.news//news/musk-boring-company-to-accept-payment-in-dogecoin,https://blockchain.news/,2,"Elon Musk's The Boring Company will accept payment in Dogecoin for rides in its Las Vegas Loop, a CNN report stated.",Musk's Boring Company to Accept Payment in Dogecoin - Blockchain.News,"Elon Musk's The Boring Company will accept payment in Dogecoin for rides in its Las Vegas Loop, a CNN report stated.Currently, rides on the new Las Vegas transit system are currently free. However, according to the Las Vegas Loop's website, the company plans to charge $1.50 for single rides and $2.50 for a day pass, but specific timings have not been disclosed.The payment plan was unveiled Friday as the company opened its first Loop station outside the Las Vegas Convention Center and it indicates another of Musk's support for Dogecoin, whose value has fallen sharply.Inside the underground Loop tunnel, passengers will be travelling in Tesla vehicles driven by humans at around 35 mph. Originally, Musk had announced that the high-occupancy vehicles would be travelling at 150 mph.In the future, The Boring Company plans to automate driving and travelling at higher speeds.According to CNN, The Boring Company hopes to eventually expand to more than 50 stations on the Vegas Strip, including casinos, resorts and Allegiant Stadium, home of the NFL's Las Vegas Raiders.To purchase a ticket, users can scan a QR code on a wall at the new Resorts World station, and those who do not wish to pay with Dogecoin can use a traditional credit card and US dollars.Dogecoin, which began as a joke in 2013, was inspired by a popular internet meme. The coin rose to prominence following Musk's support in recent years, including on Saturday Night Live.Although Dogecoin had soared about 4000% to 68 cents in 2021, a single Dogecoin can currently be bought for about 7 cents. It has fallen 70% in the last year.",2022-07-08 07:55:00,"blockchain, bitcoin, crypto, dogecoin, elonmusk, boringcompany",Aaron Limbu,"Bitcoin, AI",1.50|150 mph|2.50|68 cents|70%|AI|Allegiant Stadium|CNN|Dogecoin|Elon Musk's|Las Vegas|Las Vegas Loop|Las Vegas Raiders|Loop tunnel|Musk|Musk's Boring Company to Accept Payment|NFL|Resorts World|Saturday Night Live|Tesla|The Boring Company|US|about 4000% to|about 7 cents|around 35 mph|dogecoin|elonmusk|first Loop|the Las Vegas Convention Center|the Las Vegas Loop's|the Vegas Strip
